PERMNO,date,PRC,VOL,NUMTRD
27043,19860703,26.75000,48500,
27043,19860707,25.75000,174000,
27043,19860708,24.37500,130300,
27043,19860709,24.50000,52200,
27043,19860710,25.25000,276700,
27043,19860711,26.50000,201200,
27043,19860714,26.50000,159400,
27043,19860715,25.75000,174500,
27043,19860716,24.50000,108100,
27043,19860717,24.50000,85900,
27043,19860718,24.12500,33800,
27043,19860721,23.25000,26600,
27043,19860722,23.87500,61600,
27043,19860723,23.75000,7700,
27043,19860724,24.00000,40500,
27043,19860725,24.00000,57500,
27043,19860728,24.62500,24200,
27043,19860729,27.75000,302100,
27043,19860730,26.50000,109300,
27043,19860731,25.50000,139600,
27043,19860801,25.00000,194500,
27043,19860804,25.25000,80800,
27043,19860805,25.25000,43800,
27043,19860806,25.12500,28600,
27043,19860807,25.37500,36300,
27043,19860808,24.87500,62800,
27043,19860811,25.37500,11500,
27043,19860812,26.12500,72700,
27043,19860813,26.12500,83000,
27043,19860814,25.87500,18100,
27043,19860815,25.75000,21900,
27043,19860818,25.75000,6600,
27043,19860819,26.00000,31200,
27043,19860820,26.37500,24400,
27043,19860821,26.37500,74100,
27043,19860822,27.00000,49300,
27043,19860825,27.00000,25000,
27043,19860826,27.25000,65700,
27043,19860827,27.87500,148700,
27043,19860828,27.50000,77600,
27043,19860829,27.00000,121500,
27043,19860902,26.87500,26200,
27043,19860903,26.87500,9700,
27043,19860904,28.00000,76700,
27043,19860905,27.50000,112600,
27043,19860908,27.00000,58900,
27043,19860909,27.12500,52100,
27043,19860910,27.25000,79300,
27043,19860911,26.50000,55000,
27043,19860912,25.50000,111000,
27043,19860915,25.50000,56700,
27043,19860916,25.50000,36100,
27043,19860917,25.87500,48700,
27043,19860918,25.75000,7800,
27043,19860919,26.00000,29500,
27043,19860922,26.50000,60400,
27043,19860923,25.87500,3100,
27043,19860924,25.50000,45000,
27043,19860925,25.00000,6500,
27043,19860926,24.25000,129000,
27043,19860929,23.75000,43800,
27043,19860930,23.87500,137200,
27043,19861001,24.25000,259900,
27043,19861002,23.75000,11300,
27043,19861003,24.12500,12600,
27043,19861006,23.50000,70700,
27043,19861007,23.37500,202400,
27043,19861008,23.75000,68100,
27043,19861009,23.37500,23700,
27043,19861010,23.50000,11100,
27043,19861013,23.37500,1900,
27043,19861014,23.25000,16600,
27043,19861015,24.12500,276900,
27043,19861016,24.37500,72300,
27043,19861017,23.75000,27100,
27043,19861020,23.25000,15500,
27043,19861021,23.25000,18500,
27043,19861022,23.25000,36700,
27043,19861023,23.50000,24800,
27043,19861024,22.75000,514000,
27043,19861027,22.50000,75200,
27043,19861028,23.37500,60500,
27043,19861029,24.00000,82800,
27043,19861030,23.87500,195500,
27043,19861031,26.12500,1021200,
27043,19861103,26.25000,556500,
27043,19861104,26.37500,286700,
27043,19861105,29.00000,1468600,
27043,19861106,28.25000,345200,
27043,19861107,28.00000,99100,
27043,19861110,26.75000,296500,
27043,19861111,26.62500,58300,
27043,19861112,27.62500,339400,
27043,19861113,26.75000,248700,
27043,19861114,26.62500,99000,
27043,19861117,25.50000,77900,
27043,19861118,24.75000,203000,
27043,19861119,24.75000,30800,
27043,19861120,25.00000,30800,
27043,19861121,24.87500,63800,
27043,19861124,24.75000,197000,
27043,19861125,24.50000,32300,
27043,19861126,24.00000,59100,
27043,19861128,24.12500,32800,
27043,19861201,24.00000,125800,
27043,19861202,24.75000,116300,
27043,19861203,24.87500,42200,
27043,19861204,25.25000,81900,
27043,19861205,24.75000,237400,
27043,19861208,24.75000,46800,
27043,19861209,25.00000,26400,
27043,19861210,25.25000,40800,
27043,19861211,24.87500,21900,
27043,19861212,23.75000,29400,
27043,19861215,23.75000,49800,
27043,19861216,23.50000,69800,
27043,19861217,23.25000,28100,
27043,19861218,23.00000,44100,
27043,19861219,23.50000,33600,
27043,19861222,23.00000,34000,
27043,19861223,22.87500,172800,
27043,19861224,23.12500,20400,
27043,19861226,22.87500,5500,
27043,19861229,22.87500,59200,
27043,19861230,23.00000,73600,
27043,19861231,22.87500,62000,
27043,19870102,22.87500,12600,
27043,19870105,24.00000,57500,
27043,19870106,24.62500,60100,
27043,19870107,24.12500,40200,
27043,19870108,25.12500,65500,
27043,19870109,24.87500,39700,
27043,19870112,24.75000,16200,
27043,19870113,25.50000,119800,
27043,19870114,26.37500,374300,
27043,19870115,26.00000,80500,
27043,19870116,25.37500,99700,
27043,19870119,25.75000,172500,
27043,19870120,25.25000,89900,
27043,19870121,25.12500,75200,
27043,19870122,25.87500,33600,
27043,19870123,25.75000,272500,
27043,19870126,26.25000,96600,
27043,19870127,26.00000,195000,
27043,19870128,25.87500,173400,
27043,19870129,25.87500,61500,
27043,19870130,26.50000,80100,
27043,19870202,27.12500,79200,
27043,19870203,27.00000,346000,
27043,19870204,27.87500,261400,
27043,19870205,28.25000,245600,
27043,19870206,27.87500,48700,
27043,19870209,27.37500,38200,
27043,19870210,26.50000,45700,
27043,19870211,26.87500,72800,
27043,19870212,27.12500,76600,
27043,19870213,27.75000,51400,
27043,19870217,28.25000,84900,
27043,19870218,28.37500,129200,
27043,19870219,28.50000,53000,
27043,19870220,29.12500,202700,
27043,19870223,28.75000,52700,
27043,19870224,29.00000,66800,
27043,19870225,28.75000,22900,
27043,19870226,29.00000,168600,
27043,19870227,29.37500,185000,
27043,19870302,29.25000,166500,
27043,19870303,28.87500,195400,
27043,19870304,28.62500,51700,
27043,19870305,28.50000,70400,
27043,19870306,28.62500,52600,
27043,19870309,28.25000,65300,
27043,19870310,28.87500,45600,
27043,19870311,28.50000,34200,
27043,19870312,28.25000,161500,
27043,19870313,28.00000,29400,
27043,19870316,28.12500,28900,
27043,19870317,28.37500,80300,
27043,19870318,28.37500,34500,
27043,19870319,28.37500,14100,
27043,19870320,28.87500,73000,
27043,19870323,29.00000,40500,
27043,19870324,28.87500,81300,
27043,19870325,28.75000,35800,
27043,19870326,28.37500,48000,
27043,19870327,27.75000,21300,
27043,19870330,27.00000,67100,
27043,19870331,26.87500,18400,
27043,19870401,26.75000,31800,
27043,19870402,26.87500,72700,
27043,19870403,27.25000,76100,
27043,19870406,27.37500,34800,
27043,19870407,26.87500,22700,
27043,19870408,26.12500,315800,
27043,19870409,26.62500,247400,
27043,19870410,27.00000,150000,
27043,19870413,26.50000,338200,
27043,19870414,27.25000,120600,
27043,19870415,28.00000,324700,
27043,19870416,27.62500,77300,
27043,19870420,28.37500,76200,
27043,19870421,28.37500,239000,
27043,19870422,28.25000,45700,
27043,19870423,29.00000,83700,
27043,19870424,30.50000,528700,
27043,19870427,31.50000,415400,
27043,19870428,32.75000,781300,
27043,19870429,33.00000,526800,
27043,19870430,32.25000,298500,
27043,19870501,33.37500,282800,
27043,19870504,33.87500,544000,
27043,19870505,33.75000,211700,
27043,19870506,34.00000,264300,
27043,19870507,34.00000,173800,
27043,19870508,33.12500,114200,
27043,19870511,32.50000,145600,
27043,19870512,32.37500,99400,
27043,19870513,33.00000,156800,
27043,19870514,33.75000,250200,
27043,19870515,33.25000,197800,
27043,19870518,32.87500,175200,
27043,19870519,31.75000,69400,
27043,19870520,30.75000,189900,
27043,19870521,31.00000,159700,
27043,19870522,30.87500,123100,
27043,19870526,32.25000,240500,
27043,19870527,32.12500,88500,
27043,19870528,32.75000,105600,
27043,19870529,32.75000,63400,
27043,19870601,33.25000,101600,
27043,19870602,32.75000,45400,
27043,19870603,33.12500,44400,
27043,19870604,33.00000,31500,
27043,19870605,32.75000,31400,
27043,19870608,32.75000,78100,
27043,19870609,33.75000,165300,
27043,19870610,33.50000,208200,
27043,19870611,32.87500,68300,
27043,19870612,33.12500,132500,
27043,19870615,32.87500,128100,
27043,19870616,32.50000,128600,
27043,19870617,33.37500,173000,
27043,19870618,33.50000,89900,
27043,19870619,33.87500,118600,
27043,19870622,33.87500,248000,
27043,19870623,33.87500,133600,
27043,19870624,33.62500,71200,
27043,19870625,33.75000,59700,
27043,19870626,33.25000,77800,
27043,19870629,32.12500,61100,
27043,19870630,31.75000,126800,
27043,19870701,31.37500,110200,
27043,19870702,31.25000,50300,
27043,19870706,30.87500,68500,
27043,19870707,31.87500,73500,
27043,19870708,32.50000,120100,
27043,19870709,32.12500,104700,
27043,19870710,32.50000,46800,
27043,19870713,32.87500,88500,
27043,19870714,32.75000,119300,
27043,19870715,33.62500,98300,
27043,19870716,36.50000,260100,
27043,19870717,35.75000,213100,
27043,19870720,35.50000,55700,
27043,19870721,35.00000,39300,
27043,19870722,34.87500,35600,
27043,19870723,34.50000,53900,
27043,19870724,34.50000,24700,
27043,19870727,34.75000,92700,
27043,19870728,35.12500,37200,
27043,19870729,34.50000,74600,
27043,19870730,36.25000,129800,
27043,19870731,36.25000,286500,
27043,19870803,35.87500,176600,
27043,19870804,36.25000,80700,
27043,19870805,37.25000,165400,
27043,19870806,38.75000,613700,
27043,19870807,39.37500,196600,
27043,19870810,38.87500,79200,
27043,19870811,39.37500,125300,
27043,19870812,38.75000,518000,
27043,19870813,39.00000,157400,
27043,19870814,38.50000,38900,
27043,19870817,37.75000,76100,
27043,19870818,36.75000,250500,
27043,19870819,36.75000,228500,
27043,19870820,37.00000,173300,
27043,19870821,37.37500,211900,
27043,19870824,37.62500,40300,
27043,19870825,37.37500,170200,
27043,19870826,37.62500,97700,
27043,19870827,36.75000,43200,
27043,19870828,36.00000,133000,
27043,19870831,35.75000,34800,
27043,19870901,34.75000,48100,
27043,19870902,34.00000,111500,
27043,19870903,33.75000,133200,
27043,19870904,33.75000,43500,
27043,19870908,33.75000,116300,
27043,19870909,33.75000,35700,
27043,19870910,34.75000,85500,
27043,19870911,36.00000,228100,
27043,19870914,37.25000,85900,
27043,19870915,37.12500,113100,
27043,19870916,37.25000,135600,
27043,19870917,37.00000,7800,
27043,19870918,36.75000,46200,
27043,19870921,36.12500,228500,
27043,19870922,36.50000,105100,
27043,19870923,36.25000,21400,
27043,19870924,36.12500,79100,
27043,19870925,36.00000,6100,
27043,19870928,35.87500,109900,
27043,19870929,35.25000,7300,
27043,19870930,35.25000,72900,
27043,19871001,35.87500,18700,
27043,19871002,37.75000,95000,
27043,19871005,38.62500,105900,
27043,19871006,37.62500,116900,
27043,19871007,36.87500,46800,
27043,19871008,36.50000,37900,
27043,19871009,36.75000,53300,
27043,19871012,36.12500,76800,
27043,19871013,35.37500,94500,
27043,19871014,34.25000,46800,
27043,19871015,32.50000,34600,
27043,19871016,31.00000,142000,
27043,19871019,23.12500,244400,
27043,19871020,23.50000,468700,
27043,19871021,25.25000,113500,
27043,19871022,24.75000,162000,
27043,19871023,24.25000,65100,
27043,19871026,23.00000,247200,
27043,19871027,22.25000,169200,
27043,19871028,21.75000,195400,
27043,19871029,22.50000,147200,
27043,19871030,24.75000,52400,
27043,19871102,24.50000,69500,
27043,19871103,22.75000,32000,
27043,19871104,22.75000,76500,
27043,19871105,23.00000,182900,
27043,19871106,23.00000,158100,
27043,19871109,21.50000,116900,
27043,19871110,21.75000,45700,
27043,19871111,21.75000,111800,
27043,19871112,22.00000,178400,
27043,19871113,21.87500,107800,
27043,19871116,21.50000,141700,
27043,19871117,20.62500,130800,
27043,19871118,20.25000,190800,
27043,19871119,19.75000,143000,
27043,19871120,19.75000,79800,
27043,19871123,20.12500,37800,
27043,19871124,20.37500,73700,
27043,19871125,20.50000,48300,
27043,19871127,20.50000,61500,
27043,19871130,18.75000,84500,
27043,19871201,19.25000,79300,
27043,19871202,19.50000,58600,
