DCN,SEQNUM,FORMTYPE,PERSONID,OWNER,TICKER,ACQDISP,TRANDATE,TPRICE,SHARES,SHARESHELD,SECDATE,TPRICE_AR,TRANDATE_AR,OPTIONSELL,SHARES_ADJ,TPRICE_ADJ
00530651,1,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000112,29.87,8900.0000,123050.0000,20000210,29.87,20000112,,35600.0000,7.4675
00530651,2,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000112,29.87,1800.0000,123050.0000,20000210,29.87,20000112,,7200.0000,7.4675
00530651,3,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000112,29.87,1800.0000,123050.0000,20000210,29.87,20000112,,7200.0000,7.4675
00530651,4,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000113,29.46,12000.0000,123050.0000,20000210,29.46,20000113,,48000.0000,7.3650
00530651,5,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000113,29.46,2600.0000,123050.0000,20000210,29.46,20000113,,10400.0000,7.3650
00530651,6,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000113,29.46,2600.0000,123050.0000,20000210,29.46,20000113,,10400.0000,7.3650
00530651,7,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000114,31.30,2000.0000,123050.0000,20000210,31.30,20000114,,8000.0000,7.8250
00530651,8,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000118,32.06,9600.0000,123050.0000,20000210,32.06,20000118,,38400.0000,8.0150
00530651,9,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000118,32.06,3200.0000,123050.0000,20000210,32.06,20000118,,12800.0000,8.0150
00530651,10,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000118,32.06,6400.0000,123050.0000,20000210,32.06,20000118,,25600.0000,8.0150
00530651,11,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000119,32.64,10050.0000,123050.0000,20000210,32.64,20000119,,40200.0000,8.1600
00530651,12,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000119,32.64,10050.0000,123050.0000,20000210,32.64,20000119,,40200.0000,8.1600
00530651,13,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000119,32.64,2000.0000,123050.0000,20000210,32.64,20000119,,8000.0000,8.1600
00530651,14,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000120,32.70,15000.0000,123050.0000,20000210,32.70,20000120,,60000.0000,8.1750
00530651,15,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000120,32.70,5000.0000,123050.0000,20000210,32.70,20000120,,20000.0000,8.1750
00530651,16,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000120,32.70,5000.0000,123050.0000,20000210,32.70,20000120,,20000.0000,8.1750
00530651,17,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000121,33.29,4000.0000,123050.0000,20000210,33.29,20000121,,16000.0000,8.3225
00530651,18,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000121,33.29,3000.0000,123050.0000,20000210,33.29,20000121,,12000.0000,8.3225
00530651,19,4,13116177,I G INVESTMENT MANAGEMENT LTD,VAR,A,20000121,33.29,3000.0000,123050.0000,20000210,33.29,20000121,,12000.0000,8.3225
